City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
594,Srandakan,ID,86.65,broken clouds,-7.9386,110.2506,Puri Brata
598,Malindi,KE,77.83,overcast clouds,-3.2175,40.1191,African House Resort
599,Bilma,NE,82.92,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
606,Luzhou,CN,76.6,overcast clouds,28.8724,105.4405,Shijichun Hotel
609,Phan Thiet,VN,82.18,overcast clouds,10.9333,108.1,Hotel Saigon-PT
611,Sao Jose Da Coroa Grande,BR,76.3,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
612,Mitsamiouli,KM,77.81,light rain,-11.3847,43.2844,Foyer ADM
615,Mersing,MY,85.91,scattered clouds,2.4312,103.8405,Timotel Hotel
620,Ahuimanu,US,82.11,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
621,Lakatoro,VU,83.73,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
625,Pandua,IN,87.94,clear sky,23.0833,88.2833,Marriage Registry Office Joypur Road
628,Rongcheng,CN,79.56,scattered clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
634,The Valley,AI,80.46,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
637,Piacabucu,BR,75.85,clear sky,-10.4056,-36.4344,Piaçabuçu News
645,Mansa,IN,88.25,overcast clouds,29.9833,75.3833,STARiHOTEL Mansa
647,Harrison,US,75.27,overcast clouds,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
649,Bandarbeyla,SO,81.09,overcast clouds,9.4942,50.8122,JABIR HOTEL
654,Betamcherla,IN,82.96,clear sky,15.4667,78.1667,Amrutha hotels​
655,Puerto Madero,MX,80.8,thunderstorm,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
656,Nizwa,OM,88.11,clear sky,22.9333,57.5333,Orient Apartments
661,Linjiang,CN,78.26,broken clouds,41.8069,126.9078,格林豪泰
662,Erenhot,CN,77.97,scattered clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
666,Shuangcheng,CN,82.08,broken clouds,45.35,126.2833,Xingcheng Hotel
670,Ankang,CN,79.38,clear sky,32.68,109.0172,安琪酒店
672,Bac Giang,VN,78.87,overcast clouds,21.2667,106.2,Ravatel Home Hotel
674,San Jose,US,77.22,few clouds,37.3394,-121.895,The Westin San Jose
677,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
681,Puerto Cabello,VE,78.78,few clouds,10.4731,-68.0125,Las Palmeras
683,Beruwala,LK,82.72,overcast clouds,6.4788,79.9828,The Palms Hotel
686,Bambanglipuro,ID,86.31,broken clouds,-7.95,110.2833,Puri Brata
702,Si Sa Ket,TH,87.01,overcast clouds,14.8333,104.3333,ร้านค้า อัญชัน
703,Davila,PH,87.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
704,Seoul,KR,78.37,mist,37.5683,126.9778,롯데호텔 서울
