City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Miri,MY,4.4148,114.0089,87.94,70,20,10.36,few clouds
222,Omboue,GA,-1.5746,9.2618,74.12,81,54,7.38,broken clouds
223,Rocha,UY,-34.4833,-54.3333,48.67,89,88,5.21,overcast clouds
224,Nikolskoye,RU,59.7035,30.7861,43.88,57,94,2.98,overcast clouds
225,Beringovskiy,RU,63.05,179.3167,43.16,71,84,11.34,broken clouds
226,Castro,BR,-24.7911,-50.0119,49.42,78,96,2.39,overcast clouds
227,Sept-Iles,CA,50.2001,-66.3821,51.06,95,100,5.75,mist
228,Coihaique,CL,-45.5752,-72.0662,34.41,93,75,8.05,light rain
229,Simao,CN,22.7886,100.9748,69.4,91,100,1.16,overcast clouds
230,Vila Velha,BR,-20.3297,-40.2925,66.15,94,40,1.14,scattered clouds
231,Fortuna,US,40.5982,-124.1573,55.92,87,75,11.5,broken clouds
232,Ambilobe,MG,-13.2,49.05,72.0,74,99,4.16,overcast clouds
233,Mae Sai,TH,20.4335,99.8762,79.63,80,57,1.59,broken clouds
234,Pingliang,CN,35.5392,106.6861,70.92,52,77,6.29,broken clouds
235,Ahipara,NZ,-35.1667,173.1667,62.04,68,100,12.86,overcast clouds
236,Urucui,BR,-7.2294,-44.5561,78.51,61,71,3.47,broken clouds
237,Barao De Melgaco,BR,-16.1944,-55.9675,65.7,49,5,3.0,clear sky
238,Marsh Harbour,BS,26.5412,-77.0636,78.39,80,2,15.73,clear sky
239,La Palma,US,33.8464,-118.0467,72.91,70,0,12.66,clear sky
240,Massakory,TD,12.996,15.7293,86.18,15,90,9.15,overcast clouds
241,Khatanga,RU,71.9667,102.5,34.21,73,100,10.02,overcast clouds
242,Hobyo,SO,5.3505,48.5268,80.31,79,90,23.29,overcast clouds
243,Yulara,AU,-25.2406,130.9889,68.18,32,100,11.1,overcast clouds
244,Porto Novo,BJ,6.4965,2.6036,78.62,90,99,3.62,overcast clouds
245,Ribeira Grande,PT,38.5167,-28.7,64.13,94,100,3.6,light rain
246,Ostrovnoy,RU,68.0531,39.5131,30.9,71,78,13.49,broken clouds
247,Pacific Grove,US,36.6177,-121.9166,64.87,78,0,11.01,clear sky
248,Ayr,GB,55.4627,-4.6339,49.98,87,40,6.91,scattered clouds
249,Ibra,OM,22.6906,58.5334,82.13,46,6,3.2,clear sky
250,Lata,PT,40.1629,-8.3327,63.81,96,100,3.56,overcast clouds
251,Luwuk,ID,-0.9516,122.7875,84.76,70,55,4.34,broken clouds
252,Zyryanka,RU,65.75,150.85,57.79,33,100,15.9,overcast clouds
253,Fort Wayne,US,41.1306,-85.1289,54.14,50,75,9.22,broken clouds
254,Macapa,BR,0.0389,-51.0664,76.98,100,40,2.3,scattered clouds
255,Noshiro,JP,40.2039,140.0242,65.23,63,97,7.9,overcast clouds
256,Kruisfontein,ZA,-34.0033,24.7314,54.45,77,97,3.94,overcast clouds
257,Valleyview,CA,55.0667,-117.2859,64.44,22,64,10.36,broken clouds
258,Filadelfia,US,39.9523,-75.1638,75.97,79,75,12.66,broken clouds
259,Paysandu,UY,-32.3214,-58.0756,54.61,92,19,8.3,few clouds
260,Merauke,ID,-8.4667,140.3333,86.22,63,28,8.52,scattered clouds
261,Nordby,DK,55.446,8.3979,50.23,89,75,5.75,broken clouds
262,Manta,EC,-0.95,-80.7333,74.98,83,75,12.66,broken clouds
263,Abu Samrah,SY,35.3029,37.1841,58.91,76,7,23.73,clear sky
264,Victoria,HK,22.2855,114.1577,80.19,90,99,17.0,overcast clouds
265,Goedereede,NL,51.8175,3.9806,61.99,73,100,6.6,overcast clouds
266,Christchurch,NZ,-43.5333,172.6333,61.32,55,0,8.05,clear sky
267,Grindavik,IS,63.8424,-22.4338,44.55,93,0,5.75,clear sky
268,Port Hedland,AU,-20.3167,118.5667,84.25,74,75,9.22,broken clouds
269,San Carlos De Bariloche,AR,-41.1456,-71.3082,35.35,75,40,23.02,scattered clouds
270,Tirumullaivasal,IN,11.2333,79.8333,84.07,64,91,14.79,overcast clouds
271,Jardim,BR,-21.4803,-56.1381,63.16,50,96,2.91,overcast clouds
272,Dudinka,RU,69.4058,86.1778,33.62,93,100,10.85,overcast clouds
273,Pavino,RU,59.1139,46.1414,31.37,92,100,8.14,overcast clouds
274,Suruc,TR,36.9761,38.425,56.8,81,1,19.89,clear sky
275,Banda Aceh,ID,5.5577,95.3222,83.77,72,100,13.78,overcast clouds
276,Bonavista,CA,48.6499,-53.1147,49.55,87,100,15.66,overcast clouds
277,Terra Santa,BR,-2.1042,-56.4869,72.97,96,11,3.0,few clouds
278,Te Anau,NZ,-45.4167,167.7167,50.81,65,2,3.2,clear sky
279,Madimba,TZ,-10.4,40.3333,71.74,92,15,7.05,few clouds
280,San Rafael,AR,-34.6177,-68.3301,56.28,30,37,4.83,scattered clouds
281,Kuala Terengganu,MY,5.3302,103.1408,84.15,84,20,4.61,few clouds
282,San Quintin,MX,30.4833,-115.95,62.19,72,0,11.72,clear sky
283,Jerusalem,IL,31.769,35.2163,58.71,89,59,14.0,broken clouds
284,Ayaviri,PE,-14.8864,-70.5889,38.16,32,14,2.98,few clouds
285,Kyzyl-Suu,KG,42.3414,78.0056,46.49,91,100,1.92,overcast clouds
286,Kibondo,TZ,-3.5864,30.7203,60.62,86,100,2.44,overcast clouds
287,Manokwari,ID,-0.8667,134.0833,84.38,69,70,9.69,broken clouds
288,Carutapera,BR,-1.195,-46.02,73.98,94,19,3.94,few clouds
289,Abramovka,RU,51.1886,41.0202,44.08,95,100,10.33,overcast clouds
290,Sinnamary,GF,5.3833,-52.95,76.5,88,100,4.74,overcast clouds
291,Jacqueville,CI,5.2052,-4.4146,75.06,90,100,7.45,light rain
292,Ponta Do Sol,PT,32.6667,-17.1,66.83,68,37,6.15,scattered clouds
293,Canutama,BR,-6.5339,-64.3831,77.07,74,100,1.1,overcast clouds
